candidate_id,rank,score,reasoning
CAND_0008295,1,1.0100,"Exceptional AI Research Engineer (6.5 YOE); outstanding background in Python, BentoML, and QLoRA at product companies like Razorpay. High-confidence profile (88% verified); locally based with 45-day notice and 89% activity rate."
CAND_0052328,2,0.9663,"Exceptional Recommendation Systems Engineer (6.5 YOE); outstanding background in QLoRA, Vector Search, and LoRA at companies including Amazon and Observe.AI. High-confidence profile (93% verified); offers 30-day notice (79% recruiter response rate) and is locally based."
CAND_0072688,3,0.9442,"Exceptional Data Scientist (6.9 YOE); outstanding background in Qdrant, Semantic Search, and NLP at companies including Niramai and PolicyBazaar. High-confidence profile (95% verified); locally based with a 45-day notice and strong platform engagement (87% response rate)."
CAND_0099347,4,0.9321,"Exceptional Computer Vision Engineer (3.5 YOE); outstanding background in LoRA, Machine Learning, and LangChain at product companies like Swiggy. High-confidence profile (100% verified); locally based with a 45-day notice and strong platform engagement (86% response rate)."
CAND_0077956,5,0.9146,"Exceptional Computer Vision Engineer (6.4 YOE); outstanding background in Weaviate, LlamaIndex, and BentoML at product companies like Niramai. High-confidence profile (95% verified); willing to relocate from Chandigarh with a 120-day notice and strong platform engagement (88% response rate)."
CAND_0081846,6,0.9145,"Applied ML background (6.7 YOE) as Lead AI Engineer, with hands-on experience in Embeddings, Information Retrieval, and Vector Search at companies including Razorpay and Paytm. High-confidence profile (88% verified); offers 30-day notice (73% recruiter response rate) and is willing to relocate from Jaipur."
CAND_0099806,7,0.9057,"Strong AI Engineer with 4.6 YOE, showing deep expertise in Embeddings, Qdrant, and FAISS at companies including Mad Street Den and upGrad. High-confidence profile (80% verified); offers 30-day notice (76% recruiter response rate) and is willing to relocate from Bhubaneswar."
CAND_0083852,8,0.8997,"Applied ML background (6.0 YOE) as Data Scientist, with hands-on experience in Pinecone, Qdrant, and pgvector at companies including Mad Street Den and Dream11. High-confidence profile (88% verified); willing to relocate from Ahmedabad with a 90-day notice and strong platform engagement (85% response rate)."
CAND_0006418,9,0.8968,Excellent fit with 5.7 years of experience; previously built systems around Weaviate at companies including Verloop.io and Flipkart. High-confidence profile (100% verified); willing to relocate from Gurgaon with a 60-day notice and strong platform engagement (92% response rate).
CAND_0081480,10,0.8952,Excellent fit with 5.6 years of experience; previously built systems around FAISS at companies including Sarvam AI and Unacademy. High-confidence profile (88% verified); offers 60-day notice (85% recruiter response rate) and is locally based.
CAND_0061257,11,0.8824,Excellent fit with 8.0 years of experience; previously built systems around Python at companies including LinkedIn and Yellow.ai. High-confidence profile (95% verified); locally based with a 30-day notice and strong platform engagement (87% response rate).
CAND_0043637,12,0.8795,"Applied ML background (5.5 YOE) as Junior ML Engineer, with hands-on experience in Milvus, MLflow, and pgvector at companies including Rephrase.ai and Yellow.ai. High-confidence profile (82% verified); locally based with 45-day notice and 92% activity rate."
CAND_0041669,13,0.8778,Excellent fit with 8.0 years of experience; previously built systems around Semantic Search at companies including CRED and Mad Street Den. High-confidence profile (93% verified); offers 60-day notice (77% recruiter response rate) and is locally based.
CAND_0074225,14,0.8721,"Strong Machine Learning Engineer with 4.3 YOE, showing deep expertise in Milvus, Vector Search, and Python at companies including Unacademy and Mad Street Den. High-confidence profile (100% verified); willing to relocate from Vizag with a 120-day notice and strong platform engagement (91% response rate)."
CAND_0086154,15,0.8716,"Applied ML background (6.8 YOE) as Data Scientist, with hands-on experience in Machine Learning, BentoML, and Qdrant at companies including Ola and Verloop.io. High-confidence profile (100% verified); offers 90-day notice (90-day notice required) (90% recruiter response rate) and is willing to relocate from Ahmedabad."
CAND_0076482,16,0.8695,"Applied ML background (6.6 YOE) as ML Engineer, with hands-on experience in RAG, BentoML, and Pinecone at companies including Flipkart and CRED. High-confidence profile (100% verified); willing to relocate from Austin with 60-day notice and 86% activity rate."
CAND_0030784,17,0.8634,Excellent fit with 4.4 years of experience; previously built systems around Embeddings at companies including Yellow.ai and Flipkart. High-confidence profile (95% verified); locally based with a 90-day notice and strong platform engagement (90% response rate).
CAND_0007596,18,0.8630,"Applied ML background (4.4 YOE) as Junior ML Engineer, with hands-on experience in Weaviate, Machine Learning, and Python at companies including Flipkart and Meesho. High-confidence profile (82% verified); offers 45-day notice (86% recruiter response rate) and is locally based."
CAND_0000031,19,0.8405,"Applied ML background (6.0 YOE) as Recommendation Systems Engineer, with hands-on experience in Pinecone, Information Retrieval, and Embeddings at companies including Swiggy and Mad Street Den. High-confidence profile (95% verified); offers 60-day notice (91% recruiter response rate) and is willing to relocate from Hyderabad."
CAND_0010257,20,0.8358,"Strong Senior Data Scientist with 6.5 YOE, showing deep expertise in Python, Milvus, and Qdrant at companies including Google and PharmEasy. High-confidence profile (88% verified); locally based with a 120-day notice and strong platform engagement (72% response rate)."
CAND_0063736,21,0.8345,"Solid Data Scientist with 3.7 YOE and practical experience in Information Retrieval, PEFT, and Milvus. Medium-confidence profile (75% verified); based in Vizag with 45-day notice and 83% activity rate."
CAND_0098217,22,0.8336,"Solid ML Engineer with 6.4 YOE and practical experience in PEFT, MLflow, and Pinecone. High-confidence profile (88% verified); locally based with 45-day notice and 84% activity rate."
CAND_0053605,23,0.8334,"Solid Senior Software Engineer (ML) with 6.9 YOE and practical experience in RAG, pgvector, and Semantic Search. High-confidence profile (82% verified); offers 30-day notice (88% recruiter response rate) and is locally based."
CAND_0054546,24,0.8333,"Solid AI Research Engineer with 4.9 YOE and practical experience in LoRA, Qdrant, and BentoML. High-confidence profile (88% verified); offers 90-day notice (90-day notice required) (92% recruiter response rate) and is locally based."
CAND_0043860,25,0.8295,"Solid Junior ML Engineer with 6.1 YOE and practical experience in Semantic Search, Information Retrieval, and Qdrant. High-confidence profile (82% verified); offers 30-day notice (81% recruiter response rate) and is willing to relocate from Bhubaneswar."
CAND_0089381,26,0.8280,"Solid Computer Vision Engineer with 6.0 YOE and practical experience in Machine Learning, LlamaIndex, and Milvus. High-confidence profile (95% verified); willing to relocate from Vizag with 90-day notice (90-day notice required) and 81% activity rate."
CAND_0028422,27,0.8253,"Solid Junior ML Engineer with 5.5 YOE and practical experience in Pinecone, MLflow, and pgvector. High-confidence profile (93% verified); based in Chennai with a 90-day notice and strong platform engagement (76% response rate)."
CAND_0045887,28,0.8245,"Solid Data Scientist with 3.0 YOE and practical experience in Machine Learning, Embeddings. High-confidence profile (95% verified); offers 30-day notice (86% recruiter response rate) and is based in Chennai."
CAND_0069905,29,0.8196,"Solid Applied ML Engineer with 6.6 YOE and practical experience in Weaviate, LangChain, and LoRA. Medium-confidence profile (75% verified); willing to relocate from Bhubaneswar with a 90-day notice and strong platform engagement (78% response rate)."
CAND_0046459,30,0.8192,"Solid AI Research Engineer with 4.5 YOE and practical experience in Qdrant, pgvector, and Python. Medium-confidence profile (70% verified); locally based with 30-day notice and 84% activity rate."
CAND_0014909,31,0.8180,"Solid Computer Vision Engineer with 4.8 YOE and practical experience in pgvector, Python, and LangChain. High-confidence profile (93% verified); offers 120-day notice (120-day notice required) (76% recruiter response rate) and is locally based."
CAND_0038206,32,0.8160,"Solid Data Scientist with 3.5 YOE and practical experience in NLP, Semantic Search, and MLflow. High-confidence profile (88% verified); willing to relocate from Chandigarh with a 120-day notice and strong platform engagement (81% response rate)."
CAND_0074317,33,0.8146,"Solid AI Research Engineer with 4.2 YOE and practical experience in Pinecone, Milvus, and MLflow. High-confidence profile (95% verified); offers 120-day notice (120-day notice required) (86% recruiter response rate) and is locally based."
CAND_0068932,34,0.8139,"Solid ML Engineer with 5.2 YOE and practical experience in MLOps, RAG, and Milvus. High-confidence profile (100% verified); offers 30-day notice (82% recruiter response rate) and is locally based."
CAND_0019480,35,0.8132,"Solid NLP Engineer with 2.8 YOE and practical experience in Milvus, LangChain. High-confidence profile (100% verified); willing to relocate from Chennai with 90-day notice (90-day notice required) and 87% activity rate."
CAND_0082086,36,0.8110,"Solid Senior Software Engineer (ML) with 6.0 YOE and practical experience in FAISS, Pinecone, and Milvus. High-confidence profile (100% verified); offers 45-day notice (85% recruiter response rate) and is locally based."
CAND_0053591,37,0.8104,"Solid AI Engineer with 5.3 YOE and practical experience in Qdrant, Milvus, and RAG. High-confidence profile (88% verified); offers 60-day notice (81% recruiter response rate) and is based in Toronto."
CAND_0016659,38,0.8085,"Solid ML Engineer with 4.4 YOE and practical experience in Weaviate, Pinecone, and Information Retrieval. High-confidence profile (95% verified); offers 45-day notice (89% recruiter response rate) and is based in Coimbatore."
CAND_0054394,39,0.8079,"Solid Recommendation Systems Engineer with 4.1 YOE and practical experience in Embeddings, Machine Learning, and Pinecone. Medium-confidence profile (62% verified); offers 30-day notice (64% recruiter response rate) and is locally based."
CAND_0006567,40,0.8077,"Solid Senior AI Engineer with 7.9 YOE and practical experience in Python, Vector Representations, and NLP. High-confidence profile (88% verified); locally based with a 60-day notice and strong platform engagement (79% response rate)."
